pseudocode,state,district,block,school loc,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5600055,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Chennapalli,Chennapalli,SHOOLAGIRI,1,3,1,5,1,635117,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,0,0,0,0
5369810,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Peddatalapalli,Peththathaalapalli,KRISHNAGIRI,1,3,1,5,1,635001,2,2,3,0,2,18,0,0,0,2,2,1,2,2,208,1,0,0,0,0,0,0
7118193,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Majethgollahalli,Majeethgollahalli,BARGUR,1,3,1,5,1,635203,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,1,0,1,0,0
9363818,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,2,Denkanikottai,Denkanikottai (TP) - Ward No.3,,,,1,3,1,5,1,635107,2,2,3,0,2,19,0,0,0,2,2,1,2,1,206,1,0,0,0,1,0,1
2934483,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Kattiganapalli (Ct),Kattigaanapalli,KRISHNAGIRI,1,3,1,5,1,635001,2,2,3,0,2,16,19,0,0,2,2,1,2,2,210,1,0,0,6,1,9,16
2274311,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Karandapalli,Karandapalli,THALLY,1,3,1,5,1,635107,2,2,3,0,2,16,0,0,0,2,2,1,2,2,203,1,0,0,0,0,3,3
8195420,TAMIL NADU,KRISHNAGIRI,MATHUR,1,,,Papparapatti,Soolagarai,MATHUR,1,3,1,5,1,635207,2,2,3,0,2,16,0,0,0,2,2,1,2,1,200,1,0,0,0,0,3,5
7300834,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Nadupatti,Kadavani,UTHANGARAI,1,3,1,5,1,635307,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,0,1,0
4620615,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Madagondapalli,Madhagondapalli,THALLY,1,3,1,5,1,635114,2,2,3,0,2,19,0,0,0,2,2,1,2,2,207,1,0,0,0,0,2,1
5277676,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Orappam,Orappam,BARGUR,6,3,1,10,5,635108,2,2,3,0,2,19,0,0,0,1,0,1,1,2,210,1,4,1,1,1,0,0
1531258,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Gumlapuram,Gumlapuram,THALLY,1,3,1,5,1,635118,2,2,3,0,2,5,0,0,0,2,2,2,2,2,204,1,0,0,0,0,0,0
7266639,TAMIL NADU,KRISHNAGIRI,HOSUR,1,,,Nandimangalam,Nandhimangalam,HOSUR,1,3,1,5,1,635105,2,2,3,0,2,19,0,0,0,2,2,1,2,2,204,1,0,0,0,0,0,4
3451277,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Kalugundapalli,Kalugondapalli,THALLY,1,3,1,5,1,635114,2,2,3,0,2,19,0,0,0,2,2,1,2,2,207,1,0,0,1,0,11,9
4780735,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Maganurpatti,Maganoorpatti,UTHANGARAI,1,3,1,5,1,635307,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,0,2,0,0
2554839,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Moranapalli,Perandapalli,SHOOLAGIRI,1,3,1,5,1,635109,2,2,3,0,2,19,0,0,0,2,2,1,2,2,210,1,0,0,1,0,2,2
3164631,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Amgondapalli,Angondapalli,SHOOLAGIRI,1,3,1,5,1,635105,2,2,3,0,2,19,17,0,0,2,2,1,2,2,206,1,0,0,0,0,3,3
9537577,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Egoor,Eggoor,UTHANGARAI,1,3,1,5,1,635307,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,0,0,2,2
7817521,TAMIL NADU,KRISHNAGIRI,MATHUR,1,,,Mottur,Samalpatti,MATHUR,1,3,1,5,1,635206,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,1,1,0,0,0,0
