pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
9613325,3,14,5,2,14,7,13,0,0,1,2,2,1,1,1,1,1,1,3,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,3,0,23,0,0,1,0,3,2,1,2,3
2494696,3,6,2,7,8,0,4,0,0,2,2,2,1,1,1,1,0,0,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,3,1,0,0,0,1,1,0,1,1,3
6051199,2,3,4,1,16,5,16,0,0,1,5,5,5,5,0,0,0,0,8,12,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,12,0,0,0,0,0,1,1,2,2
6911283,3,10,3,7,8,4,8,0,0,1,2,2,2,2,0,0,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,2,1,1,1,1,4,4,4,1,1,1,10,0,20,0,0,1,0,1,1,1,1,2
3331254,3,3,3,1,8,6,6,0,0,1,1,1,5,4,1,1,0,0,3,6,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,13,0,13,1,0,1,1,1,2,2
3881214,3,5,1,1,5,0,2,0,0,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,1,0,0,0,1,0,1,1,2,2
9832170,3,4,1,1,5,1,2,0,0,1,1,1,1,1,0,0,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,1,1,2,0,0,0,1,0,0,1,2,2
4436580,4,3,3,1,6,2,6,0,0,1,2,2,1,1,3,3,3,3,6,3,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,3,0,0,0,0,0,0,0,1,2,2
3280945,3,4,2,1,5,0,2,0,0,2,1,1,1,1,0,0,0,0,5,5,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,2,3,2,0,0,0,1,1,1,1,2,2
6776363,3,1,1,1,5,0,2,0,0,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,1,0,1,0,1,1,2,2
